num,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
55887,137088365,288.4454985,41.58129103,11.4573,0.225711,1683.643386,0.00549,0.027367459,14,2,3,1.54316,1.54,7001,4.24877,15.32258,0.11561
55901,123095489,288.6767128,40.58301539,11.8601,0.5146,1683.485368,0.00288,0.077596534,14,2,3,2.73095,,4907.82,,16.88946,0.33544
55908,399821588,288.9243784,41.15550857,12.4191,0.881961,1683.802072,0.00402,0.173128944,14,2,3,4.56515,,4719.96,,17.25688,-0.20133
55923,390052993,289.2494028,40.16325916,10.3908,0.194461,1683.530329,0.03575,0.020863721,14,2,3,10.353,,4648.78,,21.46714,0.13965
55925,164455246,289.3803806,40.22136895,13.2604,0.90835,1684.239263,0.00078,0.096412269,14,2,3,3.51897,,4844,,9.17147,0.17434
55927,158220652,289.4247394,41.8749677,13.2057,0.4896,1683.496473,0.00443,0.040631904,14,2,3,18.8439,,4493,,10.30705,0.21424
55971,123411957,291.0870407,41.0616869,12.8272,0.279183,1683.644476,0.00651,0.148639821,14,2,3,1.96902,1.48,6837.8,4.01983,46.28546,-0.67866
55983,121013252,277.6786465,43.97959268,13.2227,1.913905,1683.73201,0.00107,0.027541093,14,2,3,1.70214,1.19,6201,4.05162,9.94701,0.44924
55987,158935785,277.7130302,46.36129715,11.0374,0.20835,1683.634026,0.00326,0.003287763,14,2,3,8.2084,,4857,,9.75761,0.08192
56017,122443975,278.7430336,42.78660123,12.9358,0.556267,1683.670119,0.00535,0.070150831,14,2,3,1.88481,1.1,5984,3.92893,9.96134,0.11089
56105,120497737,281.6278109,43.44177472,11.6164,0.353489,1683.728534,0.21967,0.092727234,14,2,3,1.44099,1.16,6135,4.1852,37.74618,0.36523
56125,137760987,282.3524211,44.53995631,10.0282,2.837349,1684.861061,0.00053,0.15699052,14,2,3,9.76845,,4908.61,,9.68289,0.21341
56141,121085588,282.6689679,42.80474569,13.4056,2.748407,1684.657192,0.00676,0.21528272,14,2,3,0.697925,0.81,4944,4.65894,11.58273,0.27216
56142,230292248,282.7099165,42.6018513,9.0193,12.865317,1695.155364,0.00492,0.170336797,14,2,3,11.0663,,4545.36,,12.89135,0.19427
56145,289456902,291.228602,41.96231,11.906,0.505572,1683.527426,0.01175,0.306897371,14,2,3,1.52393,,5894.1,,62.29306,-0.90981
56148,288753982,291.2006335,40.36723441,12.9542,0.368767,1683.52847,0.01346,0.087331401,14,2,3,10.8269,,4923,,55.79353,0.54802
56154,122838074,291.5218703,40.99862823,9.18458,0.218767,1683.566312,0.00303,0.021314469,14,2,3,,,12231,,10.55762,0.2266
56167,137213478,292.113049,40.41648997,12.8271,2.237108,1684.261653,0.00046,0.277379021,14,2,3,1.7588,1.02,5702,3.95623,14.94023,0.2733
56171,137754849,292.3187688,41.60481351,13.466,9.285473,1691.751898,0.01066,0.300013633,14,2,3,1.31985,1.3,6424.21,4.31096,9.89039,0.22195
56181,158728853,278.8890198,38.26880176,13.2235,0.828489,1684.050272,0.03658,0.106825372,14,2,3,2.89696,1.65,7288,3.73167,258.53838,0.41163
56182,48528720,278.9956091,37.88658358,12.4146,0.687517,1683.6335,0.249,0.14215789,14,2,3,0.906919,1.07,5899,4.55231,26.53794,0.27796
56214,123009360,279.5934428,39.52978006,13.2483,4.17411,1685.314824,0.00533,0.190464639,14,2,3,0.658224,0.64,4097,4.6075,14.41177,0.28057
56229,120042555,279.6646036,39.87438355,12.5867,0.40835,1683.844804,0.01241,0.078341948,14,2,3,25.2532,,4450,,35.70218,-0.24011
56251,7618708,280.1299648,40.79191214,13.2253,0.188211,1683.455384,0.00184,0.032880462,14,2,3,2.60154,1.08,5914.6,3.64103,15.57428,-0.08625
56274,158984238,280.569859,38.55245102,13.2625,0.200017,1683.546259,0.06682,0.078886705,14,2,3,1.1477,1.03,5747,4.33125,73.41308,-1.05382
56304,383724410,285.9846321,44.2449304,13.3779,0.093767,1683.507447,0.00311,0.004753987,14,2,3,3.98352,,5183.82,,9.5959,0.15485
56335,157893606,286.491083,42.51423717,11.7651,0.272239,1683.497676,0.29765,0.071530797,14,2,3,5.59585,,4617.71,,52.14597,0.42636
56341,47731088,286.4772713,44.84947021,10.6577,1.268072,1684.076423,0.01812,0.150735719,14,2,3,9.31977,,4761.36,,16.78141,0.19055
