epicid,ra,dec,kepmag,period,t0,duration,campaign,label
219556818,[[288.57724]],[[-16.4528255]],[[14.553]],0.245116159,2468.6459,0.141186908,7, J
219562784,[[287.8803406]],[[-16.437149]],[[17.612]],0.245116264,2468.645856,0.141186968,7, J
219562931,[[288.4530029]],[[-16.4367332]],[[15.05]],1.964135781,2469.059319,0.939392697,7, J
219562999,[[288.1211243]],[[-16.4365749]],[[12.497]],29.66568022,2474.543981,2.015144577,7, J
219563799,[[287.8357849]],[[-16.4344311]],[[17.274]],0.245229846,2468.620137,0.25,7, J
219566703,[[288.8897705]],[[-16.4269104]],[[14.42]],31.13081852,2488.560531,0.363481934,7, J
219569552,[[288.1208801]],[[-16.4192734]],[[12.806]],29.43689604,2475.009758,1.17252637,7, J
219570297,[[288.3709412]],[[-16.4174023]],[[18.391]],0.245116253,2468.668645,0.447547751,7, J
219570437,[[288.504364]],[[-16.4170322]],[[12.284]],25.50074283,2488.544931,1.253975087,7, J
219571101,[[288.6748657]],[[-16.4152851]],[[17.485]],0.245230537,2468.619158,0.542927914,7, J
219571293,[[288.1583557]],[[-16.4148045]],[[17.826]],0.245231194,2468.617637,0.317404446,7, J
219571757,[[288.6559143]],[[-16.4136257]],[[17.906]],0.245116144,2468.645905,0.141186899,7, J
219578194,[[288.0171204]],[[-16.3967018]],[[13.882]],1.95740715,2469.226182,1.306206353,7, J
219580919,[[288.9718018]],[[-16.3894329]],[[15.202]],1.959238492,2469.188642,0.978846134,7, J
219581699,[[289.5478821]],[[-16.3873062]],[[17.898]],0.245116085,2468.645959,0.141186865,7, J
219582870,[[288.9710388]],[[-16.3841763]],[[15.772]],31.12192401,2496.36088,1.851102046,7, J
219583317,[[289.473938]],[[-16.3829994]],[[16.159]],0.245116085,2468.645955,0.141186865,7, J
219583976,[[288.7355652]],[[-16.3813267]],[[12.372]],12.26173993,2472.561003,0.439116991,7, J
219584539,[[288.9695435]],[[-16.3797302]],[[15.101]],13.00222005,2475.522998,0.305701534,7, J
219584896,[[288.7694092]],[[-16.3787098]],[[17.254]],0.245116144,2468.665521,0.141186899,7, J
219587053,[[287.9456787]],[[-16.373064]],[[16.92]],3.921181356,2469.154646,0.966206827,7, J
219588283,[[288.2080688]],[[-16.3698597]],[[18.329]],0.245116204,2468.665486,0.141186934,7, J
219589126,[[288.6184998]],[[-16.3677158]],[[15.15]],31.10661097,2488.561632,1.684922398,7, J
219590819,[[289.460968]],[[-16.3632889]],[[9.725]],0.371318849,2468.569768,2.247648237,7, J
219592079,[[288.9008179]],[[-16.3598881]],[[11.239]],0.49005233,2468.687439,0.279870875,7, J
219593136,[[287.9311218]],[[-16.3570538]],[[17.46]],0.245116234,2468.645859,0.141186951,7, J
219594140,[[288.9633789]],[[-16.3542614]],[[14.855]],31.59951679,2488.567696,2.213769147,7, J
219594854,[[289.4703064]],[[-16.3523312]],[[16.748]],0.245154351,2468.636173,0.141208906,7, J
219596771,[[287.4116211]],[[-16.3472309]],[[14.901]],0.245116296,2468.64217,0.281523821,7, J
219598118,[[287.4455566]],[[-16.3436432]],[[12.809]],15.91123279,2474.133084,1.154235162,7, J
219599295,[[288.4091797]],[[-16.3404484]],[[17.085]],0.245231003,2468.61735,0.141253057,7, J
219599597,[[288.1609802]],[[-16.3396587]],[[16.409]],0.245231032,2468.618148,0.141253075,7, J
219602352,[[288.954895]],[[-16.3322659]],[[16.262]],31.59943584,2488.557255,1.568765806,7, J
219604743,[[288.5323792]],[[-16.3257866]],[[17.061]],0.245116144,2468.645897,0.141186899,7, J
219604851,[[288.4505005]],[[-16.3255291]],[[13.235]],0.245116159,2468.665501,0.141186908,7, J
219605951,[[289.1942749]],[[-16.3224812]],[[10.387]],22.66226656,2488.569173,1.76513118,7, J
219606481,[[288.8764648]],[[-16.3210468]],[[18.024]],29.66933069,2496.330442,1.650264947,7, J
219606730,[[287.986969]],[[-16.3203621]],[[15.342]],0.490534526,2468.608908,0.284900049,7, J
219609511,[[288.7754822]],[[-16.313055]],[[17.776]],0.245154411,2468.636131,0.141208941,7, J
219610257,[[288.232605]],[[-16.3110733]],[[16.306]],0.245116204,2468.645878,0.141186934,7, J
219610716,[[288.3913574]],[[-16.3098392]],[[14.]],17.64370334,2484.856284,0.25,7, J
219610822,[[288.6687012]],[[-16.309557]],[[13.411]],29.54900605,2470.886014,9.494104044,7, E
219612778,[[287.9747314]],[[-16.3043461]],[[14.141]],0.245116219,2468.645862,0.141186942,7, J
219615843,[[287.5593567]],[[-16.2959652]],[[12.304]],0.73562599,2468.864822,0.332658871,7, J
219616382,[[289.5724792]],[[-16.2945004]],[[16.458]],0.245116085,2468.645961,0.141186865,7, J
219618103,[[288.6596069]],[[-16.2898521]],[[16.342]],38.87484247,2481.256059,0.675995621,7, J
