,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
17954,136134370,305.453372753,32.3826702168,11.8464,0.679878,1684.215037,0.00632,0.08903002410000001,15,1,2,94.3937,,3618.0,,17.63009,0.1067
17958,136134530,305.453872955,32.3585479025,13.0859,0.679878,1684.219207,0.02773,0.13726056941999998,15,1,2,55.0265,,3779.0,,49.4516,0.57964
17967,136134941,305.380556147,32.2955095969,12.641,8.311565,1685.386346,0.53361,0.07904298315,15,1,2,45.1713,,4062.0,,11.13588,0.0112
17991,136136611,305.511409306,32.0538724277,11.7255,2.557655,1684.434198,0.0019,0.17381823380000003,15,1,2,5.82683,,4549.0,,12.95793,0.22202
17994,136136686,305.405417172,32.0423850053,13.4468,0.754878,1684.310135,0.02594,0.10317672504,15,1,2,1.39921,1.3,6436.0,4.26024,18.64602,0.23536
17995,136136783,305.411874027,32.0290678791,10.559,0.754878,1684.312896,0.00507,0.11330718780000001,15,1,2,7.11155,,7015.0,,29.81733,0.40689
17996,136136817,305.43774822,32.0247752144,13.2855,0.50835,1684.177648,0.00502,0.1887147705,15,1,2,2.65326,2.48,9712.0,3.98496,20.22108,-0.15368
17999,136137132,305.391843554,31.9784890864,12.4147,0.288211,1683.877623,0.00916,0.05895644216,15,1,2,28.7768,,4166.0,,33.61185,-0.13833
18011,136137416,305.489791912,31.9332776111,13.0498,11.158472,1691.709253,0.02797,0.09785979943999999,15,1,2,26.2104,,3977.0,,19.33157,0.22518
18020,136137592,305.427353256,31.9101102544,12.9479,6.028111,1688.588659,0.01073,0.08915576169,15,1,2,1.56979,2.01,8201.0,4.34958,9.91074,0.22028
18026,136138042,305.376869904,31.8422914543,10.6904,0.47085,1684.091746,0.04861,0.140247381,15,1,2,1.44845,0.973,5533.0,4.10437,48.09636,-0.4622
18027,136138132,305.385531664,31.8267720914,11.811,0.471544,1684.053605,0.03245,0.14138775296,15,1,2,1.61115,1.11,6018.0,4.06912,53.26865,-0.53279
