time, circaper5, circaper0
2794.0702,1.0001051,0.99865522
2794.0906,0.99989649,0.99835341
2794.1111,0.99912824,0.99831795
2794.1315,0.999876,0.99815457
2794.1519,0.99987552,0.99880798
2794.1723,0.99957727,0.99827399
2794.1928,1.0003781,0.99911948
2794.2132,1.0003045,0.99984035
2794.2336,0.99963757,0.99850526
2794.2541,1.0002396,0.99824911
2794.2949,0.99961755,0.99695549
2794.3154,0.99988486,0.99732886
2794.3358,0.99867639,0.99755628
2794.3562,1.0004834,0.99828234
2794.3767,0.99877018,0.99785315
2794.3971,0.99977906,0.9977257
2794.4175,0.99874977,0.99763918
2794.438,1.0006062,0.99750993
2794.4584,0.99949845,0.99770798
2794.4788,0.99899238,0.99773841
2794.4993,1.0016622,0.99899277
2794.5197,0.99991483,0.99785005
2794.5401,0.99964063,0.9977804
2794.5605,1.0009679,0.99854315
2794.581,1.0002878,0.99853541
2794.6014,0.99958067,0.99856195
2794.6218,0.99993507,0.99861687
2794.6423,0.99955288,0.99857918
2794.6627,0.99932703,0.9978083
2794.6831,1.0008521,0.99893479
2794.7036,0.99991808,0.99860744
2794.724,0.99990217,0.99842998
2794.7444,0.99960735,0.99827719
2794.7853,0.99986585,0.99863292
2794.867,0.99966902,0.99855635
2794.8875,1.0008661,0.99904998
2794.9079,1.0000002,0.99898262
2794.9283,1.001317,1.0002972
2794.9488,0.99903309,0.9982917
2794.9692,0.99954184,0.99782347
2794.9896,0.99980257,0.99835632
2795.0305,0.99864739,0.99806124
2795.0509,1.0004104,0.99806765
2795.0713,0.99984772,0.9977634
2795.0918,0.99908024,0.99770391
2795.1122,1.000177,0.99857559
2795.1326,0.99938679,0.99817578
2795.1531,1.0000979,0.99836362
2795.1735,1.0012444,0.99827517
2795.1939,1.0012892,0.99843579
2795.2144,0.99955233,0.99823692
2795.2348,1.0005102,0.9983599
2795.2757,0.99915756,0.99811386
2795.2961,0.99949726,0.9979497
2795.3165,0.99932534,0.99807105
2795.337,0.99971834,0.99835042
2795.3574,1.0007414,0.99851214
2795.3778,0.99865439,0.99794937
2795.3982,0.99957823,0.99819052
2795.4187,1.001006,0.99859726
2795.4391,0.99921554,0.99818869
2795.4595,0.99977598,0.99808356
2795.48,1.0125309,0.99831665
2795.5208,0.99940171,0.9981538
2795.5413,1.0010666,0.99903687
2795.5617,0.99933608,0.9977236
2795.5821,0.99980383,0.99793159
2795.6026,0.99849446,0.99752037
2795.623,0.99962345,0.99788663
2795.6434,0.9994612,0.99775246
2795.6639,0.99951747,0.99807602
2795.6843,1.000206,0.99823483
2795.7047,0.99958853,0.99834302
2795.7252,0.99932987,0.99843526
2795.766,1.0002526,0.99875209
2795.7864,0.99966591,0.99806446
2795.8069,0.99914073,0.99830384
2795.8273,1.000401,0.99904899
2795.8477,1.0002866,0.9986888
2795.8682,0.99904474,0.99779849
2795.8886,0.999292,0.9978809
2795.909,0.99876511,0.99778181
2795.9295,0.99866723,0.99792772
2795.9499,1.0000099,0.99807189
2795.9703,0.99959666,0.99816204
2796.0112,0.99911524,0.9976272
2796.0316,0.99933232,0.9971805
2796.0521,1.0002173,0.99778803
2796.0725,1.0002653,0.99792932
2796.0929,1.0002408,0.99836208
2796.1134,0.99970317,0.99827417
2796.1338,0.99931346,0.99779732
2796.1542,0.99976927,0.99804799
2796.1747,0.99912467,0.99800357
2796.1951,0.99963936,0.99793337
2796.2155,1.0001261,0.998276
2796.2768,0.99913783,0.9978854
2796.2972,0.9985089,0.99749215
2796.3177,0.99816741,0.997917
2796.3381,0.99856687,0.99726302
2796.3585,1.007643,0.99995671
2796.379,1.0106698,1.003738
2796.3994,0.9990337,0.99783009
2796.4198,1.0001316,0.99769818
2796.4403,0.99924722,0.99766457
2796.4607,0.99900234,0.99757608
2796.5016,0.9999315,0.99807733
2796.522,0.9985903,0.9968231
2796.5424,0.9988686,0.99776796
2796.5629,0.9989662,0.99791367
2796.5833,1.00042,0.99819292
2796.6037,0.99944746,0.99784321
2796.6241,0.99827802,0.99775257
2796.6446,0.99994414,0.99796334
2796.665,0.99990468,0.99801501
2796.6854,0.99963778,0.99804641
2796.7059,0.99859782,0.99717305
2796.7467,0.99942947,0.99791957
2796.7672,0.99821605,0.99752128
2796.7876,0.99926409,0.99830595
2796.808,0.99866937,0.99759349
2796.8285,0.99840407,0.9975847
2796.8489,0.9995147,0.99773999
2796.8693,0.99844886,0.99779544
2796.8898,0.99925862,0.99774578
2796.9102,0.99921419,0.99791617
2796.9306,0.99849485,0.99778193
2796.9511,0.99844267,0.99766348
2796.9919,0.99930608,0.99789595
2797.0123,0.99859057,0.99773442
2797.0328,0.99897681,0.99776812
2797.0532,1.0000289,0.99788741
2797.0736,0.9994245,0.99778613
2797.0941,0.99999892,0.998052
2797.1145,0.9993373,0.99782975
2797.1349,0.99898475,0.99763739
2797.1554,0.9984758,0.99772869
2797.1758,1.0103286,0.99807664
2797.1962,0.99942635,0.99804073
2797.2371,0.99880665,0.99721344
2797.2575,0.9980117,0.99757414
2797.278,0.99899759,0.99738771
2797.2984,0.99933035,0.99780243
2797.3188,0.99887092,0.9973116
2797.3393,0.99860314,0.99754914
2797.3597,0.99864973,0.997655
2797.3801,0.99813549,0.99719423
2797.4006,0.99843383,0.99763926
2797.421,0.99963498,0.99746175
2797.4414,0.99843757,0.99702551
2797.4823,0.99865465,0.99750342
2797.5027,0.99976884,0.99814166
2797.5231,0.99975677,0.99842028
2797.5436,0.99953719,0.99810528
2797.564,0.99880559,0.9973238
2797.5844,0.99839262,0.99763812
2797.6049,0.99817351,0.99721847
2797.6253,0.997629,0.99689259
2797.6457,0.99877678,0.99777393
2797.6662,0.9986702,0.99762732
2797.6866,0.9978058,0.99507024
2797.7275,0.99766259,0.99752052
2797.7479,0.99754707,0.99765525
2797.7683,0.99735222,0.99707801
2797.7888,0.9980842,0.99766707
2797.8092,0.99888012,0.99795278
2797.8296,0.99860762,0.99764639
2797.85,0.99906073,0.99762208
2797.8705,0.99924028,0.99769164
