#             ID,KIC,Period,T0-2454900,Duration,Depth,DISP,KepMag,P1/P2,dT0/P,Pmatch(σ),Tmatch(σ),Dmatch(σ),"Sep("")",Chan0,Mod0,Out0,Row0,Col0,Chan1,Mod1,Out1,Row1,Col1,Chan2,Mod2,Out2,Row2,Col2,Chan3,Mod3,Out3,Row3,Col3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272.01,8552498,0.530968,66.84843,2.3412,0.000216,KOI,13.586,0.5,0,4.486,2.856,1,109.6,44,13,4,175,382,41,13,1,349,205,42,13,2,171,380,43,13,3,353,202
1277.01,8552565,1.061931,66.85071,2.1459,0.000173,KOI,12.953,2,0,0.674,3.069,1,109.6,44,13,4,203,382,41,13,1,349,233,42,13,2,199,379,43,13,3,353,230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272.01,8552498,0.530968,66.84843,2.3412,0.000216,KOI,13.586,0.5,0,4.75,3.159,1,142.8,44,13,4,175,382,41,13,1,349,205,42,13,2,171,380,43,13,3,353,202
1265.01,8552583,1.061934,66.84759,2.2237,0.000434,KOI,15.062,2,0,0.674,3.356,1,142.8,44,13,4,211,377,41,13,1,344,241,42,13,2,207,375,43,13,3,348,238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272.01,8552498,0.530968,66.84843,2.3412,0.000216,KOI,13.586,0.5,124,4.218,2.179,1,59.3,44,13,4,175,382,41,13,1,349,205,42,13,2,171,380,43,13,3,353,202
T-Lyr1-00359-pri,8552540,1.061922,0.99289,0,0.414401,GEB,10.292,2,-62,0.674,2.422,1,59.3,44,13,4,188,390,41,13,1,356,218,42,13,2,184,387,43,13,3,360,215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272.01,8552498,0.530968,66.84843,2.3412,0.000216,KOI,13.586,0.5,124,4.815,3.609,1,59.3,44,13,4,175,382,41,13,1,349,205,42,13,2,171,380,43,13,3,353,202
V2277-Cyg-pri,8552540,1.061934,1.008618,0,0.42456,GEB,10.292,2,-62,0.674,3.872,1,59.3,44,13,4,188,390,41,13,1,356,218,42,13,2,184,387,43,13,3,360,215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272.01,8552498,0.530968,66.84843,2.3412,0.000216,KOI,13.586,0.5,125,4.218,2.178,1,59.3,44,13,4,175,382,41,13,1,349,205,42,13,2,171,380,43,13,3,353,202
T-Lyr1-00359-sec,8552540,1.061922,0.46189,0,0.237921,GEB,10.292,2,-62.5,0.674,0.699,1,59.3,44,13,4,188,390,41,13,1,356,218,42,13,2,184,387,43,13,3,360,215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272.01,8552498,0.530968,66.84843,2.3412,0.000216,KOI,13.586,0.5,23,5.252,3.51,1,59.3,44,13,4,175,382,41,13,1,349,205,42,13,2,171,380,43,13,3,353,202
