Type,FPKOI,FPKIC,Name,KIC,PRatio,Dist,DelRow,DelCol,m2mag,DelMag,DRatio,Flag
Direct PRF,3055.01,7281454,RR-Lyr-pri,7198959,1:1,684.5,23,170,7.86,6.79,5.88E+03,0
Direct PRF,3064.01,9899505,BR-Cyg-pri,9899416,1:1,85.2,-17,13,10.03,5.92,6.65E+02,0
Direct PRF,3067.01,4847782,004847832-pri,4847832,1:1,34.8,-6,7,12.45,2.63,7.90E+02,0
Direct PRF,3082.01,10619142,010619109-pri,10619109,1:1,83,-14,-16,11.7,3.27,1.55E+03,0
Direct PRF,3085.01,11912932,011913071-pri,11913071,1:1,209.5,37,37,9.53,4.79,1.96E+03,0
Direct PRF,3098.01,9959589,BR-Cyg-pri,9899416,1:1,127.2,-21,-25,10.03,5.76,3.43E+03,0
Direct PRF,3107.01,10031500,010031808-pri,10031808,1:1,228.3,58,2,9.56,5.66,8.28E+02,0
Direct PRF,3124.01,4076976,004076952-pri,4076952,1:2,19.5,-3,-3,13.77,0.43,1.76E+03,0
Direct PRF,3126.01,7097534,007097571-pri,7097571,1:1,39.6,5,-8,11.27,3.19,1.57E+03,0
Direct PRF,3132.01,9541295,009541127-pri,9541127,1:1,131.5,33,0,12.56,0.09,1.09E+04,0
Direct PRF,3135.01,9899352,BR-Cyg-pri,9899416,1:1,135.3,25,22,10.03,5.82,2.85E+03,0
Direct PRF,3162.01,9752973,3871.01,9752982,1:1,13,3,0,12.22,-2.18,9.84E+00,1
Direct PRF,3163.01,7116117,RR-Lyr-pri,7198959,1:1,418.9,36,-99,7.86,2.38,1.04E+05,0
Direct PRF,3174.01,7115661,RR-Lyr-pri,7198959,1:1,775.8,5,-196,7.86,2.76,2.65E+03,0
Direct PRF,3205.01,9959494,BR-Cyg-pri,9899416,1:1,127.6,1,-32,10.03,1.81,3.52E+04,0
Direct PRF,3211.01,7293937,007374746-pri,7374746,1:2,14.1,-2,-2,15,-3.05,2.48E+03,0
Direct PRF,3218.01,10191036,T-Lyr1-00687-sec,10191056,1:2,66.2,17,-2,10.81,1.3,7.04E+03,0
Direct PRF,3241.01,9532117,009532123-pri,9532123,1:1,12.1,-1,-3,16.36,-4.01,1.08E+03,0
Direct PRF,3249.01,9083564,009083523-pri,9083523,1:1,54.5,10,9,12.71,-0.28,1.29E+04,0
Direct PRF,3253.01,2707985,UZ-Lyr-pri,2708156,1:1,100.8,-6,-24,10.67,1.81,3.35E+04,0
Direct PRF,3254.01,9899141,BR-Cyg-pri,9899416,1:1,236.5,57,-17,10.03,2.47,5.15E+04,0
Direct PRF,3257.01,10420301,010420279-pri,10420279,1:1,13.1,2,2,14.77,1,5.15E+02,0
Direct PRF,3276.01,3858879,003858884-sec,3858884,1:1,46.4,11,6,9.28,5.84,1.73E+02,0
Direct PRF,3285.01,8625813,1859.01,8625821,1:1,10.8,3,-1,15.02,0.96,1.38E+00,1
Direct PRF,3291.01,6233483,006233466-sec,6233466,1:1,7.7,1,-1,14.68,-0.77,1.27E+01,0
Direct PRF,3292.01,5392871,3342.01,5392897,1:1,13.3,2,3,15.75,-2.36,2.35E+02,0
Direct PRF,3293.01,3858851,003858884-pri,3858884,1:1,54.6,14,-1,9.28,6.49,7.47E+01,0
Direct PRF,3294.01,3858917,003858884-sec,3858884,1:1,33,-8,1,9.28,5.41,1.30E+02,0
Direct PRF,3299.01,7177555,007177553-sec,7177553,1:1,8.8,-1,2,11.51,3.33,1.72E+00,0
Direct PRF,3300.01,7889486,007821010-pri,7821010,1:1,106.6,-14,23,10.82,4.94,7.26E+02,0
Direct PRF,3300.02,7889486,007821010-sec,7821010,1:1,106.6,-14,23,10.82,4.94,1.04E+03,0
Direct PRF,3321.01,6859801,006859813-pri,6859813,1:1,10,-2,-2,12.07,2.81,1.35E+01,0
Direct PRF,3338.01,8263752,008263746-sec,8263746,1:1,7.4,0,-1,16.75,-3.32,2.57E+01,1
Direct PRF,3362.01,3098197,003098194-sec,3098194,1:1,5.7,0,-1,13.9,0.94,2.39E+00,0
Direct PRF,3378.01,4376629,004376644-pri,4376644,1:1,9.5,1,-2,13.77,-0.09,4.14E+01,0
Direct PRF,3380.01,3120308,003120320-pri,3120320,1:1,38.7,-7,7,10.88,3.77,5.59E+02,0
Direct PRF,3388.01,3858988,003858884-sec,3858884,1:1,90.4,-20,11,9.28,5.72,3.94E+02,0
Direct PRF,3399.01,6359802,006359798-sec,6359798,1:1,4.5,1,-1,12.93,2.12,1.13E+00,1
