tic_id,disp_E,disp_N,disp_J,disp_S,disp_B,maxcount
41831634,0,0,10,0,0,10
21752433,0,0,10,0,0,10
120179147,0,0,10,0,0,10
122715889,0,0,10,0,0,10
21160972,1,0,9,0,0,9
122519510,0,0,10,0,0,10
68268794,0,0,10,0,0,10
120569755,0,0,9,0,1,9
120363093,0,0,10,0,0,10
24243234,0,0,10,0,0,10
69465448,0,0,0,0,10,10
114862804,0,0,10,0,0,10
394857507,0,0,10,0,0,10
71769849,0,0,10,0,0,10
115307044,0,0,10,0,0,10
72134631,1,0,0,0,9,9
111324370,2,0,7,1,0,7
70479901,0,0,10,0,0,10
42454810,0,0,10,0,0,10
137318138,0,0,10,0,0,10
70959079,0,0,10,0,0,10
70005120,0,0,10,0,0,10
30797141,0,0,0,0,10,10
407137217,10,0,0,0,0,10
70600653,10,0,0,0,0,10
40287644,0,0,10,0,0,10
40773621,0,0,10,0,0,10
22462874,0,0,10,0,0,10
20776111,0,0,10,0,0,10
120629324,0,0,10,0,0,10
29896740,0,0,10,0,0,10
70154762,0,0,0,0,10,10
121656266,0,0,10,0,0,10
122450905,10,0,0,0,0,10
1711710329,10,0,0,0,0,10
137679126,0,0,10,0,0,10
70146701,10,0,0,0,0,10
40283069,0,0,10,0,0,10
1867200580,0,0,1,0,9,9
120970899,0,0,10,0,0,10
110219092,10,0,0,0,0,10
69454876,0,0,10,0,0,10
284691422,0,0,10,0,0,10
21595529,0,0,10,0,0,10
122061880,0,0,0,0,10,10
122062233,0,0,9,1,0,9
22073937,0,0,10,0,0,10
29068253,0,0,0,0,10,10
404201696,0,0,10,0,0,10
40998550,0,0,10,0,0,10
394694414,0,0,10,0,0,10
70608912,0,0,10,0,0,10
198836128,0,0,10,0,0,10
114946989,0,0,0,0,10,10
137151191,0,0,10,0,0,10
452297977,0,0,10,0,0,10
112972336,0,0,0,0,10,10
22256183,0,0,10,0,0,10
392940255,0,0,10,0,0,10
43046344,0,0,10,0,0,10
258278145,0,0,10,0,0,10
89672533,0,0,10,0,0,10
1866379472,0,0,0,0,10,10
157805693,0,0,10,0,0,10
30430836,0,0,0,0,10,10
70842700,0,0,10,0,0,10
213363027,0,0,10,0,0,10
112284752,10,0,0,0,0,10
42632662,0,0,0,0,10,10
216236547,0,0,10,0,0,10
120504055,0,0,10,0,0,10
281947764,10,0,0,0,0,10
137898208,0,0,10,0,0,10
120177451,0,0,9,0,1,9
20698862,0,0,0,0,10,10
22078122,0,0,0,0,10,10
120048853,0,0,10,0,0,10
40861246,0,0,10,0,0,10
42814531,0,0,0,0,10,10
70610487,0,0,0,0,10,10
30429581,2,0,3,0,5,5
394250882,0,0,0,0,10,10
111795638,10,0,0,0,0,10
69452611,10,0,0,0,0,10
121276547,0,0,2,0,8,8
29011975,0,0,0,0,10,10
110741895,9,0,1,0,0,9
425528654,0,0,10,0,0,10
138360575,0,0,10,0,0,10
21752356,0,0,10,0,0,10
137553194,5,0,4,1,0,5
29441414,0,0,10,0,0,10
122072880,0,0,10,0,0,10
426120649,0,0,0,0,10,10
350940525,0,0,10,0,0,10
30424115,0,0,10,0,0,10
121537387,0,0,10,0,0,10
237195897,10,0,0,0,0,10
137976294,0,0,10,0,0,10
21844107,0,0,10,0,0,10
68834809,0,0,10,0,0,10
20984956,0,0,1,0,9,9
30715428,0,0,0,0,10,10
114785286,0,0,10,0,0,10
70480686,0,0,0,0,10,10
358976089,0,0,10,0,0,10
30621131,0,0,10,0,0,10
394927803,0,0,0,0,10,10
122131651,0,0,10,0,0,10
403354894,10,0,0,0,0,10
403301212,1,0,0,0,9,9
137404171,0,0,10,0,0,10
239478700,10,0,0,0,0,10
41091030,10,0,0,0,0,10
137816071,0,0,10,0,0,10
350995811,10,0,0,0,0,10
137484347,0,0,10,0,0,10
215595134,10,0,0,0,0,10
217113483,0,0,10,0,0,10
285290444,0,0,10,0,0,10
89561010,10,0,0,0,0,10
20355625,0,0,10,0,0,10
394323957,0,0,10,0,0,10
69785545,0,0,10,0,0,10
90065689,0,0,10,0,0,10
40783084,0,0,10,0,0,10
1714149763,0,0,10,0,0,10
29813470,10,0,0,0,0,10
390351010,0,0,10,0,0,10
435497867,10,0,0,0,0,10
379931213,0,0,0,0,10,10
392805036,0,0,0,0,10,10
42320668,0,0,0,0,10,10
138038976,0,0,10,0,0,10
114868388,0,0,10,0,0,10
42198258,0,0,3,7,0,7
121939247,10,0,0,0,0,10
452055671,0,0,0,0,10,10
